ppt_id,Roulette
4,Yes
6,Yes
7,Yes
8,Yes
9,Yes
10,Yes
12,Yes
13,Yes
14,Yes
15,Yes
16,Yes
17,Yes
18,Yes
19,Yes
20,Yes
21,Yes
22,Yes
23,Yes
24,Yes
25,Yes
27,Yes
28,Yes
29,Yes
30,Yes
31,Yes
32,Yes
33,Yes
34,Yes
35,Yes
36,Yes
38,Yes
39,Yes
41,Yes
42,Yes
43,Yes
44,Yes
45,Yes
46,Yes
47,Yes
48,Yes
49,Yes
50,Yes
51,Yes
52,Yes
53,Yes
54,Yes
55,Yes
56,Yes
57,Yes
58,Yes
59,Yes
60,Yes
61,Yes
62,Yes
63,Yes
64,Yes
65,Yes
66,Yes
67,Yes
68,Yes
69,Yes
70,Yes
71,Yes
72,Yes
73,Yes
74,Yes
75,Yes
76,Yes
78,Yes
79,Yes
80,Yes
81,Yes
82,Yes
83,Yes
84,Yes
85,Yes
86,Yes
87,Yes
88,Yes
89,Yes
90,Yes
91,Yes
92,Yes
93,Yes
94,Yes
95,Yes
96,Yes
98,Yes
99,Yes
100,Yes
101,Yes
102,Yes
103,Yes
105,Yes
106,Yes
107,Yes
108,Yes
109,Yes
110,Yes
111,Yes
112,Yes
113,Yes
114,Yes
115,Yes
116,Yes
117,Yes
118,Yes
119,Yes
120,Yes
121,Yes
122,Yes
123,Yes
124,Yes
125,Yes
126,Yes
127,Yes
128,Yes
129,Yes
130,Yes
131,Yes
132,Yes
133,Yes
134,Yes
135,Yes
136,Yes
137,Yes
138,Yes
139,Yes
140,Yes
141,Yes
142,Yes
143,Yes
144,Yes
145,Yes
146,Yes
147,Yes
148,Yes
149,Yes
150,Yes
151,Yes
152,Yes
153,Yes
155,Yes
156,Yes
157,Yes
158,Yes
159,Yes
160,Yes
161,Yes
162,Yes
163,Yes
165,Yes
166,Yes
167,Yes
168,Yes
169,Yes
170,Yes
171,Yes
172,Yes
173,Yes
174,Yes
175,Yes
176,Yes
177,Yes
178,Yes
179,Yes
180,Yes
181,Yes
182,Yes
183,Yes
184,Yes
185,Yes
186,Yes
187,Yes
188,Yes
189,Yes
190,Yes
191,Yes
192,Yes
193,Yes
194,Yes
195,Yes
196,Yes
197,Yes
198,Yes
199,Yes
200,Yes
201,Yes
202,Yes
203,Yes
204,Yes
205,Yes
206,Yes
207,Yes
208,Yes
209,Yes
210,Yes
211,Yes
212,Yes
214,Yes
215,Yes
216,Yes
217,Yes
218,Yes
219,Yes
220,Yes
221,Yes
222,Yes
223,Yes
224,Yes
225,Yes
226,Yes
227,Yes
228,Yes
229,Yes
230,Yes
231,Yes
232,Yes
233,Yes
234,Yes
235,Yes
236,Yes
237,Yes
238,Yes
239,Yes
240,Yes
241,Yes
242,Yes
243,Yes
244,Yes
245,Yes
246,Yes
247,Yes
248,Yes
249,Yes
250,Yes
251,Yes
252,Yes
253,Yes
254,Yes
255,Yes
256,Yes
257,Yes
258,Yes
259,Yes
260,Yes
261,Yes
262,Yes
263,Yes
264,Yes
265,Yes
266,Yes
267,Yes
268,Yes
269,Yes
270,Yes
271,Yes
272,Yes
273,Yes
274,Yes
275,Yes
276,Yes
277,Yes
279,Yes
280,Yes
281,Yes
282,Yes
283,Yes
284,Yes
285,Yes
287,Yes
288,Yes
289,Yes
290,Yes
291,Yes
292,Yes
293,Yes
294,Yes
295,Yes
296,Yes
297,Yes
300,Yes
301,Yes
303,Yes
304,Yes
305,Yes
306,Yes
307,Yes
308,Yes
309,Yes
310,Yes
311,Yes
312,Yes
313,Yes
314,Yes
315,Yes
316,Yes
317,Yes
318,Yes
319,Yes
320,Yes
321,Yes
322,Yes
323,Yes
324,Yes
325,Yes
326,Yes
327,Yes
328,Yes
329,Yes
330,Yes
331,Yes
332,Yes
333,Yes
334,Yes
336,Yes
337,Yes
338,Yes
339,Yes
341,Yes
342,Yes
343,Yes
344,Yes
345,Yes
346,Yes
347,Yes
348,Yes
350,Yes
351,Yes
352,Yes
353,Yes
354,Yes
355,Yes
356,Yes
357,Yes
358,Yes
359,Yes
360,Yes
361,Yes
362,Yes
363,Yes
364,Yes
365,Yes
366,Yes
367,Yes
368,Yes
369,Yes
370,Yes
371,Yes
372,Yes
373,Yes
374,Yes
375,Yes
376,Yes
377,Yes
378,Yes
379,Yes
380,Yes
381,Yes
382,Yes
383,Yes
384,Yes
385,Yes
386,Yes
387,Yes
388,Yes
389,Yes
390,Yes
391,Yes
392,Yes
393,Yes
394,Yes
395,Yes
396,Yes
397,Yes
398,Yes
399,Yes
400,Yes
401,Yes
402,Yes
403,Yes
404,Yes
405,Yes
406,Yes
407,Yes
408,Yes
409,Yes
410,Yes
411,Yes
412,Yes
413,Yes
414,Yes
415,Yes
416,Yes
417,Yes
418,Yes
419,Yes
420,Yes
421,Yes
422,Yes
423,Yes
424,Yes
425,Yes
426,Yes
427,Yes
428,Yes
430,Yes
431,Yes
432,Yes
433,Yes
434,Yes
435,Yes
437,Yes
439,Yes
440,Yes
442,Yes
443,Yes
444,Yes
445,Yes
446,Yes
447,Yes
448,Yes
449,Yes
450,Yes
451,Yes
452,Yes
453,Yes
454,Yes
455,Yes
456,Yes
457,Yes
458,Yes
459,Yes
460,Yes
461,Yes
462,Yes
463,Yes
464,Yes
465,Yes
466,Yes
467,Yes
468,Yes
469,Yes
470,Yes
471,Yes
472,Yes
473,Yes
474,Yes
475,Yes
476,Yes
477,Yes
478,Yes
479,Yes
480,Yes
481,Yes
482,Yes
483,Yes
484,Yes
485,Yes
486,Yes
487,Yes
488,Yes
489,Yes
490,Yes
491,Yes
492,Yes
493,Yes
494,Yes
495,Yes
497,Yes
498,Yes
499,Yes
500,Yes
501,Yes
502,Yes
503,Yes
504,Yes
505,Yes
506,Yes
507,Yes
508,Yes
509,Yes
510,Yes
511,Yes
512,Yes
513,Yes
514,Yes
515,Yes
516,Yes
517,Yes
518,Yes
519,Yes
520,Yes
521,Yes
522,Yes
523,Yes
524,Yes
525,Yes
526,Yes
527,Yes
528,Yes
529,Yes
530,Yes
531,Yes
532,Yes
533,Yes
534,Yes
535,Yes
536,Yes
537,Yes
539,Yes
540,Yes
541,Yes
542,Yes
544,Yes
545,Yes
546,Yes
547,Yes
548,Yes
550,Yes
552,Yes
554,Yes
555,Yes
556,Yes
557,Yes
558,Yes
559,Yes
560,Yes
561,Yes
562,Yes
563,Yes
564,Yes
565,Yes
566,Yes
567,Yes
568,Yes
569,Yes
570,Yes
571,Yes
572,Yes
573,Yes
574,Yes
575,Yes
576,Yes
577,Yes
578,Yes
579,Yes
580,Yes
581,Yes
582,Yes
583,Yes
584,Yes
585,Yes
587,Yes
588,Yes
589,Yes
591,Yes
592,Yes
593,Yes
594,Yes
595,Yes
596,Yes
597,Yes
598,Yes
600,Yes
601,Yes
602,Yes
603,Yes
604,Yes
605,Yes
606,Yes
607,Yes
608,Yes
609,Yes
610,Yes
611,Yes
612,Yes
613,Yes
614,Yes
615,Yes
616,Yes
617,Yes
618,Yes
619,Yes
620,Yes
621,Yes
622,Yes
624,Yes
625,Yes
626,Yes
627,Yes
628,Yes
629,Yes
630,Yes
631,Yes
633,Yes
634,Yes
635,Yes
637,Yes
638,Yes
639,Yes
640,Yes
641,Yes
642,Yes
643,Yes
644,Yes
645,Yes
646,Yes
647,Yes
648,Yes
649,Yes
650,Yes
651,Yes
653,Yes
654,Yes
655,Yes
656,Yes
657,Yes
658,Yes
659,Yes
660,Yes
661,Yes
662,Yes
663,Yes
664,Yes
665,Yes
666,Yes
667,Yes
668,Yes
669,Yes
670,Yes
671,Yes
672,Yes
674,Yes
675,Yes
676,Yes
677,Yes
678,Yes
680,Yes
681,Yes
682,Yes
683,Yes
684,Yes
685,Yes
686,Yes
687,Yes
688,Yes
689,Yes
690,Yes
691,Yes
692,Yes
693,Yes
694,Yes
695,Yes
696,Yes
698,Yes
699,Yes
701,Yes
703,Yes
704,Yes
705,Yes
706,Yes
707,Yes
708,Yes
709,Yes
710,Yes
711,Yes
712,Yes
713,Yes
714,Yes
715,Yes
717,Yes
718,Yes
719,Yes
720,Yes
721,Yes
722,Yes
723,Yes
724,Yes
725,Yes
726,Yes
727,Yes
728,Yes
729,Yes
730,Yes
731,Yes
732,Yes
734,Yes
735,Yes
737,Yes
738,Yes
739,Yes
740,Yes
741,Yes
742,Yes
743,Yes
744,Yes
745,Yes
746,Yes
747,Yes
748,Yes
749,Yes
750,Yes
751,Yes
752,Yes
753,Yes
754,Yes
755,Yes
756,Yes
757,Yes
758,Yes
759,Yes
761,Yes
762,Yes
763,Yes
764,Yes
765,Yes
766,Yes
768,Yes
769,Yes
770,Yes
771,Yes
772,Yes
773,Yes
774,Yes
775,Yes
776,Yes
777,Yes
778,Yes
779,Yes
780,Yes
781,Yes
782,Yes
783,Yes
784,Yes
785,Yes
786,Yes
787,Yes
788,Yes
789,Yes
790,Yes
791,Yes
792,Yes
793,Yes
794,Yes
795,Yes
796,Yes
797,Yes
798,Yes
799,Yes
800,Yes
801,Yes
802,Yes
803,Yes
804,Yes
805,Yes
806,Yes
807,Yes
808,Yes
809,Yes
810,Yes
811,Yes
812,Yes
813,Yes
814,Yes
815,Yes
816,Yes
817,Yes
818,Yes
819,Yes
821,Yes
822,Yes
823,Yes
824,Yes
825,Yes
826,Yes
827,Yes
828,Yes
829,Yes
830,Yes
831,Yes
833,Yes
834,Yes
836,Yes
837,Yes
838,Yes
839,Yes
840,Yes
841,Yes
842,Yes
843,Yes
844,Yes
845,Yes
846,Yes
847,Yes
848,Yes
849,Yes
850,Yes
851,Yes
852,Yes
853,Yes
854,Yes
855,Yes
856,Yes
857,Yes
858,Yes
859,Yes
860,Yes
861,Yes
862,Yes
863,Yes
864,Yes
865,Yes
866,Yes
867,Yes
868,Yes
869,Yes
870,Yes
871,Yes
872,Yes
873,Yes
874,Yes
875,Yes
876,Yes
877,Yes
878,Yes
879,Yes
880,Yes
881,Yes
882,Yes
884,Yes
885,Yes
886,Yes
887,Yes
888,Yes
889,Yes
890,Yes
891,Yes
892,Yes
893,Yes
894,Yes
895,Yes
896,Yes
898,Yes
899,Yes
900,Yes
902,Yes
903,Yes
904,Yes
905,Yes
906,Yes
907,Yes
908,Yes
909,Yes
910,Yes
911,Yes
912,Yes
913,Yes
914,Yes
915,Yes
916,Yes
917,Yes
918,Yes
919,Yes
920,Yes
921,Yes
922,Yes
923,Yes
924,Yes
925,Yes
926,Yes
927,Yes
928,Yes
929,Yes
930,Yes
931,Yes
932,Yes
933,Yes
934,Yes
935,Yes
936,Yes
937,Yes
938,Yes
939,Yes
940,Yes
941,Yes
942,Yes
943,Yes
945,Yes
946,Yes
947,Yes
948,Yes
949,Yes
950,Yes
951,Yes
952,Yes
953,Yes
954,Yes
955,Yes
956,Yes
957,Yes
958,Yes
959,Yes
960,Yes
961,Yes
962,Yes
964,Yes
965,Yes
966,Yes
967,Yes
968,Yes
969,Yes
970,Yes
971,Yes
972,Yes
973,Yes
974,Yes
975,Yes
976,Yes
977,Yes
978,Yes
979,Yes
980,Yes
981,Yes
982,Yes
984,Yes
985,Yes
986,Yes
987,Yes
988,Yes
989,Yes
990,Yes
991,Yes
992,Yes
993,Yes
994,Yes
995,Yes
996,Yes
997,Yes
998,Yes
999,Yes
1000,Yes
1001,Yes
1003,Yes
1004,Yes
1005,Yes
1006,Yes
1007,Yes
1008,Yes
1009,Yes
1010,Yes
1011,Yes
1012,Yes
1013,Yes
1014,Yes
1015,Yes
1016,Yes
1017,Yes
1018,Yes
1019,Yes
1020,Yes
1021,Yes
1023,Yes
1024,Yes
1025,Yes
1026,Yes
1027,Yes
1028,Yes
1029,Yes
1030,Yes
1031,Yes
1032,Yes
1033,Yes
1034,Yes
1035,Yes
1036,Yes
1038,Yes
1039,Yes
1040,Yes
1041,Yes
1042,Yes
1043,Yes
1044,Yes
1045,Yes
1047,Yes
1048,Yes
1049,Yes
1050,Yes
1051,Yes
1052,Yes
1053,Yes
1055,Yes
1056,Yes
1057,Yes
1058,Yes
1061,Yes
1063,Yes
1064,Yes
1065,Yes
1066,Yes
1067,Yes
1068,Yes
1069,Yes
1070,Yes
1071,Yes
1072,Yes
1073,Yes
1074,Yes
1075,Yes
1076,Yes
1077,Yes
1078,Yes
1079,Yes
1080,Yes
1081,Yes
1082,Yes
1083,Yes
1084,Yes
1085,Yes
1086,Yes
1087,Yes
1088,Yes
1089,Yes
1090,Yes
1091,Yes
1092,Yes
1093,Yes
1094,Yes
1095,Yes
1096,Yes
1097,Yes
1098,Yes
1099,Yes
1100,Yes
1101,Yes
1102,Yes
1103,Yes
1104,Yes
1105,Yes
1106,Yes
1107,Yes
1108,Yes
1110,Yes
1111,Yes
1112,Yes
1113,Yes
1114,Yes
1115,Yes
1116,Yes
1117,Yes
1118,Yes
1119,Yes
1120,Yes
1121,Yes
1122,Yes
1123,Yes
1124,Yes
1125,Yes
1126,Yes
1127,Yes
1128,Yes
1129,Yes
1130,Yes
1131,Yes
1132,Yes
1133,Yes
1134,Yes
1135,Yes
1136,Yes
1137,Yes
1138,Yes
1139,Yes
1140,Yes
1141,Yes
1142,Yes
1143,Yes
1144,Yes
1145,Yes
1146,Yes
1147,Yes
1148,Yes
1149,Yes
1150,Yes
1151,Yes
1152,Yes
1153,Yes
1154,Yes
1155,Yes
1156,Yes
1157,Yes
1158,Yes
1159,Yes
1161,Yes
1162,Yes
1163,Yes
1164,Yes
1165,Yes
1166,Yes
1167,Yes
1168,Yes
1169,Yes
1170,Yes
1171,Yes
1172,Yes
1173,Yes
1174,Yes
1175,Yes
1176,Yes
1177,Yes
1178,Yes
1179,Yes
1180,Yes
1181,Yes
1182,Yes
1183,Yes
1185,Yes
1186,Yes
1187,Yes
1188,Yes
1190,Yes
1191,Yes
1192,Yes
1193,Yes
1194,Yes
1195,Yes
1196,Yes
1197,Yes
1198,Yes
1199,Yes
1200,Yes
1201,Yes
1202,Yes
1204,Yes
1205,Yes
1206,Yes
1207,Yes
1208,Yes
1209,Yes
1210,Yes
1211,Yes
1212,Yes
1213,Yes
1214,Yes
1215,Yes
1216,Yes
1217,Yes
1218,Yes
1220,Yes
1221,Yes
1222,Yes
1223,Yes
1224,Yes
1225,Yes
1226,Yes
1227,Yes
1228,Yes
1229,Yes
1230,Yes
1231,Yes
1232,Yes
1233,Yes
1235,Yes
1236,Yes
1237,Yes
1238,Yes
1239,Yes
1241,Yes
1242,Yes
1243,Yes
1244,Yes
1245,Yes
1246,Yes
1247,Yes
1248,Yes
1249,Yes
1250,Yes
1251,Yes
1252,Yes
1253,Yes
1254,Yes
1255,Yes
1256,Yes
1257,Yes
1258,Yes
1259,Yes
1260,Yes
1261,Yes
1262,Yes
1263,Yes
1264,Yes
1265,Yes
1266,Yes
1267,Yes
1268,Yes
1269,Yes
